Тип;Название;Широта;Долгота;Номера маршрутов
автобус;Ул. Комсомольская;64.556434;40.54617;5,75М,65,75
автобус;Ул. Комсомольская;64.556485;40.546235;5,75Б,65
автобус;Ул. Комсомольская;64.556369;40.540774;62,12
автобус;Ул. Кононова;64.501703;40.68836;44,64,41,42,43,5,7У
автобус;ул. Красной Звезды;64.522414;40.61727;7У,42,5,64,43,44,41,4,15
автобус;ул. Красной Звезды;64.52181;40.619491;42,64,7У,44,5,43,41,4,15
автобус;ул. Краснофлотская;64.575989;40.517728;60,44,9,10,1,43,5,69,65,70,89,61
автобус;ул. Краснофлотская;64.576394;40.517106;44,1,9,5,10,60,69,70,89,65,43,61
автобус;ул. Краснофлотская;64.573921;40.510347;42,61,7У,6,7,65
автобус;ул. Краснофлотская;64.573879;40.510347;7У,7,6,42,61,65
автобус;Ул. Красных Маршалов;64.596381;40.5865;60,10,63
автобус;ул. Красных партизан;64.583938;40.513244;10,43,60,44,1,69,65,70,89,9
автобус;ул. Красных партизан;64.582639;40.513351;60,69,44,10,65,70,89,9,1
автобус;Ул. Кузьмина;64.668247;40.519573;69,9
автобус;Ул. Кузьмина;64.668269;40.519544;9,69,89,70,63
автобус;Ул. Кутузова;64.592405;40.586264;63,60,10
автобус;ул. Логинова;64.548173;40.518715;76,1,9,60,75Б,61,6,42,44,43
автобус;ул. Логинова;64.547979;40.51849;60,44,9,42,6,61,1,43,76К,90
автобус;ул. Логинова;64.549427;40.524938;75М,62,70,12,65
автобус;Ул. Логинова;64.547186;40.53748;5,75М,65,75
автобус;Ул. Логинова;64.548011;40.53792;5,65,75Б
автобус;Ул. Магистральная;64.429016;40.613923;3,23,83
автобус;ул. Магистральная;64.429005;40.613945;23,3,83
автобус;ул. Малиновского;64.598439;40.595276;60,63,10
автобус;ул. Маяковского;64.58059;40.513608;10,60,44,1,43,69,65,70,89,9,90
автобус;ул. Маяковского;64.579485;40.514086;44,60,69,10,1,65,89,43,9
автобус;ул. Мещерского;64.590448;40.511495;69,10,60,44,65,89,70,9
автобус;ул. Мещерского;64.589734;40.511699;60,44,10,65,69,70,89,9
автобус;ул. Мещерского;64.590467;40.521689;5,9,61
автобус;ул. Мещерского;64.589509;40.521773;9
автобус;Ул. Мостостроителей;64.501786;40.708863;41
автобус;Ул. Мостостроителей;64.501717;40.708508;
автобус;ул. Никитова;64.510084;40.670056;5,42,64,7У,43,44,41
автобус;ул. Никитова;64.510251;40.670207;64,44,41
автобус;ул. Никитова;64.50755;40.665722;43
автобус;ул. Октябрят;64.526203;40.591232;41,44,61,42,43,4,7У,65,90
автобус;ул. Октябрят;64.525958;40.594611;43,42,44,7У,41,61,4
автобус;Ул. Октябрят;64.531998;40.596789;62,64,5,65,15
автобус;Ул. Октябрят;64.531809;40.598516;64,5,65,62,15
автобус;Ул. Орджоникидзе;64.594333;40.579805;60,1
автобус;Ул. Павла Усова;64.533668;40.579762;65,5,64,62,15
автобус;Ул. Павла Усова;64.533668;40.579505;5,65,64,62,15
автобус;ул. Папанина;64.514364;40.669091;44,64,41,15,4
