Название;Широта;Долгота;Номера маршрутов
Петровский парк;64.538774;40.514767;1,60,9,43,44,42,61,6,76К,76
Петровский парк;64.537981;40.515497;62,43,44,76,60,42,75Б,61,4,41,9,54,1,12,11К
пл. Дружбы народов;64.545434;40.54882;4,54,6,11К,41
пл. Дружбы народов;64.545416;40.548557;11,54,4,6,41
Пл. Дружбы народов;64.544557;40.551014;7,7
Пл. Дружбы народов;64.543992;40.550124;7
пл. Павлина Виноградова;64.544373;40.51672;9,6,44,60,76,43,1,42,61,75Б
пл. Павлина Виноградова;64.543156;40.515904;42,60,43,6,1,44,76К,9,61,76,90
пл. Предмостная;64.565716;40.535645;69,1,44,60,42,6,61,10,5,9,65,7,43,7У,70,89
пл. Предмостная;64.565702;40.535034;5,7,60,42,69,10,61,6,44,1,9,70,43,65,7У,89,90
пл. Терехина;64.577039;40.507665;42,61,7У,6,7,65
пл. Терехина;64.576892;40.506892;6,7,7У,61,42,65
По требованию;64.694043;40.508587;69,70,9,89,63
По требованию;64.693428;40.508137;
Пожарная часть;64.598977;40.525507;44,9,69,65,70,89,63
Пожарная часть;64.598812;40.525142;9,44,69,63,65,70,89
Пожарная часть;64.566328;40.569688;12,180,88
Пожарная часть;64.568766;40.566716;12,18
Поликлиника №3;64.677895;40.50539;69,89,9,70,63
Поликлиника №3;64.678547;40.504746;
Порт Бакарица;64.483791;40.598795;3,23,83
Порт Бакарица;64.483361;40.598817;3,23,83,15
пос. Геологов;64.52244;40.707291;4
пос. Гидролизного завода;64.64275;40.530281;89,65,9,69,70,63
пос. Гидролизного завода;64.643402;40.530539;69,65,9,70,63
пос. Новый;64.489914;40.72163;42,64,43,44
Почта;64.516391;40.531343;
Почта;64.516446;40.531139;
Почтовый тракт;64.49998;40.699024;41
Почтовый тракт;64.499992;40.69926;
пр. Ленинградский, 350;64.49762;40.697994;41,42,7У,64,44,5,43
пр. Новгородский;64.541532;40.530024;54,62,6,41,11К,12,4
пр. Новгородский;64.541588;40.530088;6,54,11,4,41
Пр. Новгородский;64.534207;40.5412;7,7
Пр. Новгородский;64.534226;40.540779;7
пр. Обводный канал;64.543635;40.540237;6,11К,4,54,41
пр. Обводный канал;64.54358;40.539787;54,6,4,11,41
пр. Обводный Канал;64.5352;40.565;3,1,76,11К,7У,62,83,75Б,23,31,81,7
пр. Обводный Канал;64.536053;40.566056;1,64,7У,76К,31,83,81,15,11,7,76
пр. Обводный Канал;64.535532;40.566083;5,62,65,64,15
пр. Обводный Канал;64.535813;40.564656;65,5,75М,75
пр. Советских Космонавтов;64.55919;40.548595;5,7,10,62,7У,65,69,81,83,70,180,76К
